iter	RMSE
0	22.96233566
1	22.80433596
2	22.65522314
3	22.53029139
4	22.39616211
5	22.23502061
6	22.11016812
7	21.96370111
8	21.83112305
9	21.70222111
10	21.57767749
11	21.44702734
12	21.28985345
13	21.15800399
14	21.0289414
15	20.92192058
16	20.79851945
17	20.69177972
18	20.57228951
19	20.46832939
20	20.38267643
21	20.27421189
22	20.16409628
23	20.08312653
24	19.98477419
25	19.88507256
26	19.80184621
27	19.70305888
28	19.62123866
29	19.52884452
30	19.43403423
31	19.35530347
32	19.28571753
33	19.20944334
34	19.12291703
35	19.03443655
36	18.95185512
37	18.88006857
38	18.80917218
39	18.74159323
40	18.66167717
41	18.5844016
42	18.52072528
43	18.44192296
44	18.38175549
45	18.3293068
46	18.26135176
47	18.19895882
48	18.13255217
49	18.07462558
50	18.02743765
51	17.9750996
52	17.9183205
53	17.8691453
54	17.82194772
55	17.7704531
56	17.71010813
57	17.66384191
58	17.61604342
59	17.56072324
60	17.49654232
61	17.44318803
62	17.386096
63	17.33560004
64	17.29924969
65	17.25331515
66	17.20758243
67	17.15064377
68	17.10550673
69	17.06604801
70	17.03148045
71	16.99366104
72	16.9603762
73	16.91927234
74	16.88040285
75	16.84391625
76	16.80107294
77	16.77227023
78	16.73538551
79	16.70904731
80	16.67271818
81	16.63703556
82	16.60392535
83	16.57573088
84	16.54166938
85	16.5066177
86	16.47863559
87	16.44962568
88	16.41024168
89	16.37465012
90	16.34715232
91	16.31082875
92	16.27671178
93	16.2542298
94	16.22557962
95	16.20300696
96	16.17556507
97	16.13719861
98	16.10843603
99	16.07310138
100	16.04510573
101	16.02044069
102	15.99341792
103	15.97287466
104	15.94262587
105	15.92097043
106	15.90312786
107	15.87812929
108	15.85887177
109	15.83749588
110	15.79944058
111	15.77044554
112	15.7486166
113	15.72699577
114	15.70210092
115	15.6706806
116	15.65237134
117	15.63175318
118	15.60844356
119	15.58871528
120	15.55747237
121	15.54251054
122	15.51750947
123	15.49696718
124	15.48222328
125	15.46947667
126	15.45147139
127	15.43042939
128	15.40643578
129	15.38764625
130	15.36618293
131	15.33796683
132	15.31446922
133	15.29471074
134	15.27955914
135	15.26380409
136	15.24766801
137	15.23385215
138	15.21473815
139	15.20219388
140	15.17431856
141	15.15071103
142	15.12906304
143	15.09977788
144	15.07100869
145	15.06185168
146	15.03983985
147	15.02656018
148	15.00934242
149	14.99851491
150	14.98113906
151	14.96510282
152	14.95102628
153	14.9326758
154	14.91131406
155	14.89463788
156	14.88112595
157	14.86988141
158	14.85672297
159	14.83996459
160	14.82552285
161	14.81360126
162	14.79963897
163	14.77484927
164	14.75710723
165	14.7421118
166	14.72532655
167	14.7189008
168	14.70304866
169	14.69098549
170	14.67581086
171	14.66282634
172	14.65028703
173	14.63737522
174	14.62537122
175	14.6128415
176	14.60279311
177	14.59050061
178	14.58038459
179	14.56189825
180	14.53716452
181	14.52644001
182	14.51641789
183	14.50402285
184	14.49079173
185	14.48176863
186	14.47262446
187	14.46285639
188	14.45285191
189	14.44143663
190	14.42676938
191	14.41548862
192	14.40832863
193	14.39492886
194	14.37883868
195	14.36549669
196	14.35280421
197	14.34208154
198	14.33231871
199	14.3258272
200	14.31449751
201	14.28962843
202	14.27517385
203	14.26918487
204	14.25114727
205	14.23907577
206	14.22724785
207	14.21368164
208	14.19801451
209	14.19299266
210	14.18115875
211	14.17129621
212	14.1631067
213	14.1499102
214	14.14351028
215	14.13667895
216	14.12224107
217	14.11065398
218	14.0933817
219	14.0874308
220	14.079857
221	14.05946656
222	14.05402243
223	14.05178494
224	14.0416043
225	14.02804889
226	14.01888015
227	14.0022747
228	13.99152335
229	13.9816343
230	13.97663299
231	13.96417534
232	13.95840341
233	13.94950782
234	13.94013966
235	13.93354697
236	13.92901246
237	13.92201566
238	13.91270061
239	13.90225657
240	13.89620817
241	13.88372454
242	13.87346907
243	13.85967438
244	13.84996656
245	13.84151015
246	13.83288438
247	13.82128861
248	13.81083236
249	13.7990053
250	13.79062786
251	13.77679447
252	13.76549736
253	13.75656293
254	13.7486435
255	13.73783724
256	13.7349408
257	13.72501287
258	13.71690522
259	13.71141462
260	13.70148184
261	13.68398296
262	13.67272385
263	13.66044759
264	13.65645599
265	13.64532226
266	13.62808778
267	13.61637236
268	13.61087455
269	13.60329025
270	13.59729597
271	13.58835287
272	13.57982046
273	13.56925687
274	13.56507224
275	13.56039154
276	13.55741379
277	13.55256873
278	13.54095365
279	13.52922597
280	13.52175443
281	13.51309964
282	13.50845544
283	13.49513491
284	13.48530574
285	13.48165374
286	13.47935167
287	13.46699115
288	13.45388147
289	13.44517861
290	13.43306984
291	13.42363192
292	13.41496926
293	13.40337142
294	13.40236368
295	13.39746677
296	13.39056894
297	13.38547419
298	13.37995532
299	13.36662775
300	13.36260137
301	13.35373799
302	13.3448274
303	13.33184105
304	13.32030391
305	13.30445436
306	13.29955219
307	13.29255557
308	13.28006177
309	13.27406275
310	13.26664708
311	13.26514931
312	13.25139663
313	13.24388423
314	13.23715094
315	13.23050825
316	13.22877365
317	13.21959021
318	13.21580818
319	13.2033308
320	13.19875239
321	13.19611132
322	13.18268714
323	13.17874638
324	13.17554476
325	13.16853143
326	13.15584448
327	13.15060236
328	13.13547702
329	13.12004007
330	13.11010591
331	13.10611882
332	13.10145449
333	13.09692544
334	13.08540121
335	13.07806931
336	13.06846364
337	13.06146325
338	13.05883185
339	13.05541973
340	13.04957279
341	13.04661875
342	13.04315583
343	13.03919757
344	13.03528478
345	13.02109667
346	13.00974369
347	13.00448814
348	12.99294399
349	12.98303965
350	12.97340339
351	12.96061153
352	12.94989425
353	12.93989924
354	12.92685984
355	12.92125911
356	12.91466817
357	12.89968863
358	12.89584168
359	12.8851049
360	12.87703483
361	12.8709552
362	12.86921493
363	12.86562805
364	12.86035651
365	12.85807604
366	12.85313777
367	12.84447735
368	12.83140243
369	12.82271319
370	12.81709822
371	12.81367937
372	12.80902466
373	12.80662874
374	12.8021181
375	12.79848562
376	12.79470898
377	12.78287643
378	12.78003642
379	12.76799037
380	12.76423689
381	12.75285561
382	12.74117775
383	12.73253676
384	12.73009245
385	12.72646036
386	12.72308006
387	12.72038028
388	12.71472081
389	12.7074207
390	12.70364564
391	12.70063339
392	12.69758964
393	12.68969987
394	12.68647748
395	12.68217432
396	12.67229978
397	12.66652934
398	12.65701503
399	12.64810368
