time,temperature_2m,wind_speed_10m,relative_humidity_2m,surface_pressure,boundary_layer_height,dew_point_2m,precipitation,cloud_cover,wind_direction_10m,wind_gusts_10m,shortwave_radiation,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,aerosol_optical_depth,us_aqi,day,month,dayofweek,quarter,previous_hour_aqi,previous_day_aqi,aqi_change_rate,rolled_mean_aqi_6hr,rolled_mean_aqi_24hr,rolled_mean_aqi_72hr,rolled_std_aqi_6hr,rolled_std_aqi_24hr,rolled_std_aqi_72hr,ewm_aqi_24hr,ewm_std_24hr,f48_temperature_2m,f48_wind_speed_10m,f48_relative_humidity_2m,f48_surface_pressure,f48_boundary_layer_height,f48_dew_point_2m,f48_precipitation,f48_cloud_cover,f48_wind_gusts_10m,f48_shortwave_radiation,wind_pollution_dispersion,pressure_change_3hour,Humidity_Level,Day_2_Future_AQI
2023-08-04 00:00:00+05:00,28.441666666666666,20.516666666666666,83.45833333333333,1000.0875,752.7083333333334,25.291666666666668,0.0375,50.083333333333336,245.08333333333334,31.941666666666666,223.04166666666666,109.07083333333333,26.754166666666666,159.625,8.529166666666667,4.495833333333334,50.958333333333336,185.54166666666666,0.7595833333333334,82.875,4.0,8.0,4.0,3.0,82.625,74.33333333333333,0.25,81.71527777777777,78.11631944444444,74.68576388888889,0.8951450299326634,2.7644469929890536,3.07152169262552,78.71416337342744,3.328489054675216,28.233333333333334,30.679166666666664,80.375,1001.6083333333332,900.4166666666666,24.479166666666668,0.02916666666666667,81.625,45.5625,175.95833333333334,15605.1875,0.22499999999999906,3.15,78.83333333333333
2023-08-05 00:00:00+05:00,28.329166666666666,21.941666666666666,81.75,1002.6,818.3333333333334,24.866666666666664,0.0375,69.83333333333333,247.75,33.449999999999996,220.29166666666666,108.2625,23.229166666666668,151.20833333333334,7.195833333333333,4.241666666666666,55.083333333333336,197.58333333333334,0.685,79.45833333333333,5.0,8.0,5.0,3.0,79.75,82.875,-0.2916666666666667,80.63194444444444,82.56423611111111,77.90972222222221,0.7698871348240903,2.137104982216019,4.6896698423866505,81.48209631167542,2.9342409993305387,28.041666666666668,33.22083333333333,80.20833333333333,998.9916666666667,916.4583333333334,24.266666666666666,0.07083333333333335,75.0,49.770833333333336,171.375,18252.291666666668,0.26666666666667044,3.4625000000000004,78.875
2023-08-06 00:00:00+05:00,28.233333333333334,30.679166666666664,80.375,1001.6083333333332,900.4166666666666,24.479166666666668,0.02916666666666667,81.625,254.5,45.5625,175.95833333333334,100.28750000000001,23.483333333333334,142.0,5.845833333333334,3.3708333333333336,50.041666666666664,173.41666666666666,0.6841666666666667,78.83333333333333,6.0,8.0,6.0,3.0,78.79166666666667,79.45833333333333,0.041666666666666664,78.625,78.56597222222221,79.7488425925926,0.6728514377805932,1.783109150407584,3.424681608294687,78.94136567427627,2.1550411163409353,27.995833333333334,29.429166666666664,81.66666666666667,999.3625000000001,805.4166666666666,24.5125,0.09166666666666667,68.54166666666667,44.275,172.0,27933.375,-0.3874999999999981,3.754166666666667,78.79166666666667
2023-08-07 00:00:00+05:00,28.041666666666668,33.22083333333333,80.20833333333333,998.9916666666667,916.4583333333334,24.266666666666666,0.07083333333333335,75.0,250.25,49.770833333333336,171.375,101.7625,26.541666666666668,145.5,5.804166666666667,3.0708333333333333,48.791666666666664,164.16666666666666,0.7191666666666666,78.875,7.0,8.0,0.0,3.0,78.66666666666667,78.83333333333333,0.20833333333333334,78.23611111111111,78.19618055555556,79.77546296296296,0.5054652146874351,1.1331043394796851,2.712742214692133,78.23600749193282,1.383401676011844,27.97083333333333,28.4375,81.625,1002.5875,798.75,24.4875,0.03333333333333333,72.91666666666667,43.12083333333334,220.875,30741.333333333332,-0.20000000000000284,3.7750000000000004,73.41666666666667
2023-08-08 00:00:00+05:00,27.995833333333334,29.429166666666664,81.66666666666667,999.3625000000001,805.4166666666666,24.5125,0.09166666666666667,68.54166666666667,245.91666666666666,44.275,172.0,66.89166666666667,21.920833333333334,139.16666666666666,6.270833333333333,3.3666666666666667,48.125,89.58333333333333,0.98875,78.79166666666667,8.0,8.0,1.0,3.0,79.125,78.875,-0.3333333333333333,79.86111111111111,80.25173611111111,79.00462962962963,0.764699729408767,2.2603238362032876,2.069237068555568,79.96649203888369,2.2917961460237635,27.829166666666666,27.570833333333336,82.45833333333333,1003.6083333333332,776.0416666666666,24.483333333333334,0.06666666666666667,74.83333333333333,41.72083333333334,195.58333333333334,23936.6875,0.30416666666666475,3.483333333333333,68.79166666666667
2023-08-09 00:00:00+05:00,27.97083333333333,28.4375,81.625,1002.5875,798.75,24.4875,0.03333333333333333,72.91666666666667,251.79166666666666,43.12083333333334,220.875,58.833333333333336,20.058333333333334,145.45833333333334,6.504166666666666,3.5666666666666664,46.583333333333336,74.125,0.6770833333333334,73.41666666666667,9.0,8.0,2.0,3.0,73.58333333333333,78.79166666666667,-0.16666666666666666,73.91666666666667,75.57638888888889,78.00810185185185,0.28164080363783467,1.6515390171239017,2.775975903304231,75.50451218259771,2.4611002682966694,27.72083333333333,26.3625,82.29166666666667,1003.9833333333332,724.1666666666666,24.3625,0.05416666666666667,63.291666666666664,39.791666666666664,175.25,23143.625,0.2750000000000057,3.483333333333333,69.91666666666667
2023-08-10 00:00:00+05:00,27.829166666666666,27.570833333333336,82.45833333333333,1003.6083333333332,776.0416666666666,24.483333333333334,0.06666666666666667,74.83333333333333,251.25,41.72083333333334,195.58333333333334,54.11666666666667,18.724999999999998,146.33333333333334,7.166666666666667,3.670833333333333,46.083333333333336,64.58333333333333,0.8737499999999999,68.79166666666667,10.0,8.0,3.0,3.0,68.91666666666667,73.41666666666667,-0.125,69.34027777777779,71.29861111111111,75.70891203703704,0.5315878827189884,1.547393520321479,4.216678662066356,71.18089658457406,2.3952662902213486,27.59583333333333,30.820833333333336,81.45833333333333,1003.5083333333333,795.0,24.09583333333333,0.03333333333333333,59.958333333333336,46.125,180.08333333333334,21755.25,0.12916666666666288,3.345833333333333,68.83333333333333
2023-08-11 00:00:00+05:00,27.72083333333333,26.3625,82.29166666666667,1003.9833333333332,724.1666666666666,24.3625,0.05416666666666667,63.291666666666664,251.04166666666666,39.791666666666664,175.25,55.42083333333333,19.462500000000002,138.875,7.208333333333333,3.6916666666666664,45.708333333333336,65.83333333333333,0.92625,69.91666666666667,11.0,8.0,4.0,3.0,69.83333333333333,68.79166666666667,0.08333333333333333,69.58333333333333,68.83854166666667,71.90451388888889,0.39950244957109654,1.003077586268116,3.2319112418627687,69.3681576586339,1.5824167551236112,27.625,30.991666666666664,80.79166666666667,1000.3375,689.7916666666666,23.995833333333334,0.025000000000000005,77.75,46.69166666666666,176.08333333333334,19213.395833333332,0.0,3.358333333333333,68.33333333333333
2023-08-12 00:00:00+05:00,27.59583333333333,30.820833333333336,81.45833333333333,1003.5083333333333,795.0,24.09583333333333,0.03333333333333333,59.958333333333336,256.2916666666667,46.125,180.08333333333334,50.42083333333333,18.533333333333335,136.20833333333334,6.2250000000000005,3.3166666666666664,44.833333333333336,55.375,0.6566666666666666,68.83333333333333,12.0,8.0,5.0,3.0,68.91666666666667,69.91666666666667,-0.08333333333333333,69.13888888888889,69.67534722222221,69.9375,0.22126779893122542,0.7118895898448735,1.6768683707824599,69.4660051804954,0.8843732319389807,27.758333333333336,25.95,83.83333333333333,1000.3041666666667,567.2916666666666,24.6875,0.0,90.08333333333333,39.7875,224.29166666666666,24792.875,-0.20416666666667047,3.5,67.125
2023-08-13 00:00:00+05:00,27.625,30.991666666666664,80.79166666666667,1000.3375,689.7916666666666,23.995833333333334,0.025000000000000005,77.75,254.79166666666666,46.69166666666666,176.08333333333334,56.237500000000004,18.9375,135.375,6.191666666666666,3.275,46.583333333333336,69.66666666666667,0.7354166666666666,68.33333333333333,13.0,8.0,6.0,3.0,68.29166666666667,68.83333333333333,0.041666666666666664,68.19444444444444,68.38020833333333,68.96469907407408,0.11688595782885318,0.44299756134560714,0.9924042207877791,68.44431351169834,0.6651156393910668,27.579166666666666,20.2,84.58333333333333,1002.4416666666666,522.7083333333334,24.65416666666667,0.020833333333333332,97.0,31.55,164.625,21604.770833333332,-0.3333333333333286,3.6291666666666664,65.79166666666667
