iter	RMSE
0	22.99681035
1	22.89294623
2	22.79005723
3	22.68141446
4	22.57675744
5	22.47242652
6	22.3713036
7	22.26693855
8	22.1661426
9	22.06901068
10	21.97512026
11	21.88894641
12	21.78986667
13	21.69431824
14	21.60245497
15	21.50897826
16	21.42274007
17	21.33485408
18	21.24821597
19	21.15863232
20	21.07367471
21	20.99079411
22	20.90783278
23	20.82035124
24	20.74061384
25	20.65583304
26	20.57265518
27	20.50205392
28	20.42370092
29	20.34972857
30	20.27235027
31	20.20095643
32	20.12968568
33	20.05324845
34	19.98046017
35	19.91074738
36	19.84019064
37	19.77187303
38	19.69906959
39	19.62650316
40	19.5579684
41	19.4906456
42	19.42237031
43	19.35379302
44	19.28946966
45	19.22165077
46	19.15956311
47	19.09968356
48	19.0348822
49	18.96870091
50	18.91098546
51	18.85072927
52	18.79404594
53	18.73148756
54	18.66958034
55	18.61056131
56	18.55124894
57	18.49616779
58	18.43897797
59	18.38203492
60	18.32758187
61	18.26903124
62	18.21415404
63	18.15807105
64	18.10258878
65	18.05242393
66	18.00220843
67	17.9523726
68	17.89909042
69	17.84838691
70	17.79929526
71	17.75147887
72	17.70188725
73	17.6524113
74	17.60262445
75	17.55526252
76	17.50817625
77	17.46585125
78	17.41840185
79	17.37271064
80	17.32820344
81	17.28207793
82	17.23735411
83	17.19700424
84	17.1531039
85	17.11052822
86	17.06641919
87	17.02270909
88	16.98578621
89	16.94683843
90	16.90661068
91	16.87137231
92	16.8347549
93	16.79568326
94	16.75259012
95	16.71617901
96	16.67431911
97	16.63847412
98	16.60472021
99	16.56538022
100	16.52995584
101	16.49732617
102	16.46538345
103	16.42981955
104	16.39898699
105	16.36802242
106	16.33257317
107	16.29710763
108	16.2631548
109	16.22968956
110	16.19790059
111	16.1692328
112	16.13816314
113	16.10952497
114	16.07711255
115	16.04513277
116	16.01161351
117	15.97858824
118	15.94730201
119	15.91681675
120	15.88673715
121	15.85778469
122	15.82819645
123	15.80134085
124	15.771483
125	15.74419711
126	15.71842242
127	15.69149353
128	15.66619954
129	15.64169567
130	15.61280566
131	15.58656324
132	15.56307952
133	15.53964379
134	15.51227987
135	15.48956297
136	15.46453577
137	15.43950626
138	15.41380436
139	15.38949097
140	15.36914704
141	15.34424042
142	15.32211433
143	15.29822853
144	15.27496626
145	15.25246774
146	15.22879315
147	15.20310579
148	15.1866488
149	15.16713986
150	15.14509932
151	15.1238435
152	15.10464944
153	15.08406405
154	15.06193262
155	15.04128565
156	15.02045575
157	15.00177427
158	14.98432541
159	14.96355048
160	14.94224709
161	14.92073021
162	14.90020983
163	14.8811317
164	14.86020972
165	14.83908019
166	14.82033246
167	14.80223675
168	14.78325075
169	14.76525445
170	14.74794011
171	14.72853274
172	14.71143141
173	14.69193318
174	14.67496745
175	14.65425608
176	14.63875235
177	14.61923642
178	14.60404962
179	14.58956621
180	14.57315578
181	14.55871423
182	14.53979578
183	14.5228444
184	14.50645933
185	14.49010345
186	14.47591863
187	14.46172192
188	14.4444072
189	14.42765121
190	14.41381774
191	14.39865284
192	14.38497522
193	14.36886001
194	14.35752293
195	14.34333791
196	14.32968739
197	14.31522612
198	14.30227561
199	14.2850049
200	14.27168734
201	14.25815059
202	14.2468852
203	14.2347691
204	14.21813471
205	14.20205682
206	14.18912961
207	14.1776363
208	14.16273291
209	14.14870893
210	14.13617431
211	14.12428767
